Partido,Dimensión,Categoría Tecnológica,Cita Textual de la Propuesta,Madurez
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"""IA para toma de declaraciones: sistemas de transcripción automática de audio/video a texto con reconocimiento de VOZ en castellano y lenguas originarias, con resguardo de cadena de custodia digital."" Pág. 44-45",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Automatización e Interfaces (Chatbots),"""Chatbots internos para consultas normativas, protocolos y bases de datos policiales."" Pág. 45",Instrumental
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Big Data y Analítica de Datos,"""Integrar datos al tablero ejecutivo nacional (ver sección final): alertas, heatmaps, alertas en tiempo real a patrullas."" Pág. 44",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"""Red de videovigilancia con inteligencia artificial: Instalar centros de videovigilancia con análisis por IA en las 10 mil circunscripciones más sensibles al delito, integrando las alertas a los sistemas de patrullaje y al tablero de control ejecutivo."" Pág. 44-45",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","""Implementar el Sistema Nacional Integrado de Comunicaciones Militares y Policiales (SNICMP), basado en redes encriptadas y de alta disponibilidad, que cumpla con estándares internacionales de interoperabilidad."" Pág. 47",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","""Potenciar centros de I+D y capacitar al menos 15,000 efectivos militares en tecnologías avanzadas y 10,000 en gestión de emergencias y desastres. Contaremos con 2,000 especialistas certificados en drones y sistemas avanzados de armas."" Pág. 48",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","""Lograr al menos 98% de cobertura del espacio aéreo peruano mediante la combinación de sistemas pasivos y activos de defensa aérea, redes de radar y vigilancia avanzada de modo que se garantice vigilancia continua, detección temprana y respuesta efectiva ante amenazas externas e internas."" Pág. 50",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","""Crear la Fuerza de Operaciones de Información y Ciberdefensa (FOIDEF), cuyo mandato será ciberofensiva, inteligencia digital, operaciones psicológicas y protección de infraestructura crítica digital, y operaciones de guerra electrónica y satelital."" Pág. 52",Normativa/Estructurada
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"""Cobertura de internet superior al 95% del territorio nacional mediante inversión en infraestructura de fibra óptica, subsidios a hogares vulnerables y expansión de 5G."" Pág. 53",Programática
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"""100% de capitales regionales con 5G y al menos 3 data centers de nivel internacional."" Pág. 53",Programática
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Inteligencia Artificial,"""Creación de un marco regulatorio para IA y ciberseguridad, capacitación en big data y cloud."" Pág. 53",Normativa/Estructurada
Partido Aprista Peruano,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"""70% de instituciones públicas con soluciones de nube."" Pág. 53",Programática
Partido Aprista Peruano,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","""100% de penales con inhibidores de señal y control biométrico implementado."" Pág. 54",Programática
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"""Descongestión judicial: uso de tecnología e inteligencia artificial para acelerar procesos."" Pág. 57",Instrumental
Partido Aprista Peruano,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Instalación de 2000 módulos de flagrancia y seguridad ciudadana en zonas de alta criminalidad."" Pág. 57",Programática
Partido Aprista Peruano,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"""La SUNAT será fortalecida con la implementación de la facturación electrónica universal y un control efectivo de la economía digital."" Pág. 61",Programática
Partido Aprista Peruano,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"""Digitalización del 100% de procedimientos de SUNAFIL, reduciendo costos operativos en 30% y tiempo de trámites en 50%."" Pág. 67",Programática
Partido Aprista Peruano,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"""Digital capacidad efectiva Sistema Integral para SUNAFIL (plataforma unificada con IA para trámites), eliminando impresión de documentos habilitando notificaciones automáticas vía casilla electrónica."" Pág. 68",Programática
Partido Aprista Peruano,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"""Estructurar el Sistema Interoperable SIPMA con única ventanilla digital, asistencia gratuita y trazabilidad completa para la minería."" Pág. 77",Programática
Partido Aprista Peruano,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"""Alcanzar 20% de participación de energías renovables en la matriz eléctrica provenientes de fuentes solares, eólicas, de biomasa y geotérmicas."" Pág. 103",Programática
Fe en el Perú,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"""Reducir brechas digitales y territoriales."" Pág. 14 1",Declarativa
Fe en el Perú,"Educación, Ciencia y Tecnología (CTI)",Sistemas de Información y Software de Gestión,"""Acceso equitativo a tecnologías educativas."" Pág. 14 2",Declarativa
Fe en el Perú,"Educación, Ciencia y Tecnología (CTI)",Conectividad e Infraestructura Digital,"""Acceso a conectividad educativa."" Pág. 14 3",Declarativa
Fe en el Perú,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"""Ventanillas únicas de inversión."" Pág. 19 4",Instrumental
Fe en el Perú,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"""Promover innovación tecnológica."" Pág. 19 5",Declarativa
Fe en el Perú,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"""Incentivos a la innovación y transferencia tecnológica."" Pág. 19 6",Instrumental
Fe en el Perú,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"""Las políticas públicas promueven la ciencia, la tecnología y la innovación como ejes del incremento de la productividad y competitividad nacional."" Pág. 19 7",Declarativa
Fe en el Perú,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"""Se reconoce el rol de los laboratorios de proyectos e incubadoras en la articulación entre innovación, emprendimiento y desarrollo productivo."" Pág. 19 8",Instrumental
Fe en el Perú,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"""Tecnologías limpias y economía circular."" Pág. 23 9",Declarativa
Fe en el Perú,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""La estrategia institucional prioriza la modernización del Estado, el fortalecimiento del servicio civil, la digitalización de la gestión pública y la mejora de la coordinación interinstitucional, con énfasis en resultados y servicio al ciudadano."" Pág. 26 10",Declarativa
Fe en el Perú,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Digitalizar servicios públicos prioritarios."" Pág. 26 11",Declarativa
Fe en el Perú,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Implementación progresiva del gobierno digital."" Pág. 26 12",Programática
Fe en el Perú,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"""Nivel de digitalización de servicios."" Pág. 26 13",Declarativa
Fe en el Perú,Relaciones Internacionales y Migración,Sistemas de Información y Software de Gestión,"""Fortalecer y modernizar los servicios consulares, incorporando procesos de digitalización, mejora de la gestión administrativa y ampliación progresiva de la cobertura territorial, con especial atención a las zonas de mayor concentración de población peruana."" Pág. 30 14",Instrumental
Fe en el Perú,Relaciones Internacionales y Migración,Sistemas de Información y Software de Gestión,"""Porcentaje de servicios consulares digitalizados y nivel de cobertura territorial de atención a peruanos en el exterior."" Pág. 31 15",Programática
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)",Incremento del patrullaje motorizado y aéreo (drones) con tecnología GPS y cámaras de reconocimiento facial para mejorar la capacidad de respuesta en tiempo real. (Pág. 15),Instrumental
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Implementación de la Plataforma ""Perú con Orden"", un sistema de información en tiempo real que integre denuncias, zonas de riesgo, mapas de calor delictivo y alertas comunitarias. (Pág. 15)",Programática
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"Modernización integral del equipamiento policial, incorporando tecnología de vigilancia predictiva, drones, cámaras corporales y sistemas de geolocalización. (Pág. 15)",Instrumental
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","Implementación de tecnología preventiva mediante un ""Botón de Pánico"" que permitirá activar alertas inmediatas a la Policía y servicios de emergencia desde sus teléfonos celulares... (Pág. 15)",Instrumental
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Inteligencia Artificial,"Implementación rápida de Centros de Comando y Videovigilancia (C5i) interconectados a nivel nacional, con mapas del delito en tiempo real e inteligencia artificial para el análisis predictivo... (Pág. 15)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Culminación de la implementación nacional del SIPMMA (Sistema Interoperable para la Pequeña Minería y Minería Artesanal) para trazabilidad de insumos y minerales. (Pág. 16),Programática
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Fortalecimiento del control y la gestión de las fronteras mediante la integración de tecnología, cooperación interinstitucional y desarrollo socioeconómico en zonas fronterizas. (Pág. 16)",Declarativa
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Creación de un Sistema Nacional Integrado de Información Criminal, con interoperabilidad entre Policía, Fiscalía, Poder Judicial y gobiernos locales. (Pág. 16)",Normativa/Estructurada
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno",Sistemas de Información y Software de Gestión,"Simplificación del Código Procesal Penal, implementación del expediente electrónico penal y fortalecimiento de las Fiscalías Especializadas contra el Crimen Organizado... (Pág. 16)",Programática
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno","Seguridad, Ciberdefensa y Tecnologías de Control","Implementar un sistema integral de bloqueo de señales móviles en todos los establecimientos penitenciarios del país, garantizando su funcionamiento permanente... (Pág. 17)",Instrumental
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"Fortalecimiento de las capacidades técnicas y presupuestales de la Contraloría, incluyendo el uso de inteligencia artificial (IA) para identificar patrones anómalos en contrataciones públicas y alertas automáticas sobre sobrecostos o riesgos de colusión. (Pág. 19)",Instrumental
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Consolidación de un sistema único de declaraciones juradas de bienes, rentas e intereses administrado por la Contraloría, interoperable con la SUNAT y la UIF... (Pág. 19)",Normativa/Estructurada
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Incorporación de herramientas de compliance digital obligatorio para los funcionarios, con monitoreo automatizado de conflictos de interés. (Pág. 19)",Normativa/Estructurada
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Aplicación de un Shock Anticorrupción Digital, integrando medidas preventivas, sancionadoras y de transparencia radical en una sola estrategia nacional. (Pág. 19)",Programática
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Implementación de un sistema de transparencia total de las compras públicas, donde el 100% de licitaciones, contratos y adendas se publiquen en tiempo real, accesibles a ciudadanos y medios. (Pág. 20)",Programática
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,"Creación de una plataforma de auditoría ciudadana amigable y en tiempo real, que permita a los ciudadanos monitorear obras públicas mediante aplicaciones móviles con geolocalización y registro fotográfico certificado. (Pág. 20)",Programática
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Tecnologías de Confianza Distribuida (DLT),"Inicio de la transición hacia una criptomoneda estatal para transacciones públicas, asegurando trazabilidad total de los pagos gubernamentales. (Pág. 20)",Programática
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,"Implementación de una Ventanilla Única Digital Nacional con IA y tercerización regulada, que permita realizar en línea al menos el 80% de los trámites empresariales... (Pág. 22)",Programática
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Automatización e Interfaces (Chatbots),"Implementación de la estrategia nacional ""Cero Colas"", que obligue a todas las entidades públicas a ofrecer atención 100% digital para trámites recurrentes y de alta demanda... (Pág. 22)",Programática
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"Incorporación de herramientas de inteligencia artificial y sistemas digitales para simplificar trámites, reducir costos y agilizar procesos. (Pág. 23)",Instrumental
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Inteligencia Artificial,"Implementación de la interoperabilidad digital entre las entidades del sistema de justicia e incorporar inteligencia artificial para el análisis predictivo de casos, la asignación eficiente de expedientes y la reducción de tiempos procesales. (Pág. 25)",Instrumental
Fuerza Popular,Gobernanza y Transformación Digital del Estado,Sistemas de Información y Software de Gestión,Instauración de la obligatoriedad del Expediente Judicial Electrónico (EJE) para la gestión documental y notificaciones judiciales. (Pág. 25),Normativa/Estructurada
Fuerza Popular,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"Creación del ""Registro Nacional contra el Maltrato Animal"", interconectado con el sistema ""Amigos con Huella"", para que toda condena firme por crueldad... quede registrada... (Pág. 27)",Normativa/Estructurada
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,"Implementación de la política de ""Licencia 0 para MYPEs""... mediante una ventanilla única electrónica nacional con Inteligencia Artificial que interopere con SUNAT, SUNARP, Indecopi y municipalidades... (Pág. 32)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Activación del REMYPE con campañas masivas de inscripción digital y móvil, priorizando a emprendedores jóvenes y mujeres. (Pág. 32)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Implementación de un Programa Nacional de Factoring MYPE, que permita a las micro y pequeñas empresas convertir sus facturas... en liquidez inmediata, mediante alianzas con... fintech... (Pág. 34)",Programática
Fuerza Popular,Economía y Sectores Productivos,Conectividad e Infraestructura Digital,"Creación de espacios de coworking productivo y digital para MYPEs en provincias, con acceso compartido a maquinaria, internet de alta velocidad y asesoría técnica. (Pág. 35)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Implementación del programa MYPE Digital para que el 70% de micro y pequeñas empresas tenga acceso a plataformas de comercio electrónico y pagos digitales al 2030. (Pág. 35),Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Creación de un Portal Nacional de Herramientas Gerenciales gratuito para MYPES formales, capacitando a 500,000 empresas al año en gestión, digitalización, inteligencia artificial, finanzas y marketing. (Pág. 35)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,Promover la incorporación progresiva de soluciones digitales en los kioscos de periódicos... incorporando de manera complementaria espacios de publicidad digital... (Pág. 35),Programática
Fuerza Popular,Economía y Sectores Productivos,"Hardware Avanzado, Robótica y Sensores (IoT)","Creación de un Fondo Nacional de Innovación Minera para la minería artesanal y de pequeña escala, con incentivos tributarios para tecnologías de automatización, trazabilidad y reducción de impactos ambientales. (Pág. 40)",Programática
Fuerza Popular,"Sostenibilidad, Energía y Ambiente","Hardware Avanzado, Robótica y Sensores (IoT)",Financiamiento de la implementación de monitoreo ambiental en tiempo real en operaciones de pequeña y mediana minería. (Pág. 40),Instrumental
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,"Digitalización de todos los trámites mineros a través de una Ventanilla Única Minera Electrónica con Inteligencia Artificial que sea interoperable con SUNAT, ANA Y gobiernos regionales. (Pág. 40)",Programática
Fuerza Popular,"Sostenibilidad, Energía y Ambiente",Energías Limpias y Tecnologías Ambientales (GreenTech),"Impulso de una agenda de acciones concretas para el desarrollo del hidrógeno verde, promoviendo inversiones sostenibles y posicionando al Perú como líder regional en la transición energética. (Pág. 43)",Declarativa
Fuerza Popular,Conectividad e Infraestructura Digital,Energías Limpias y Tecnologías Ambientales (GreenTech),"Expansión de la electrificación rural con energías renovables, enfocado en la selva y zonas aisladas donde la cobertura efectiva apenas supera el 82%. (Pág. 43)",Programática
Fuerza Popular,"Sostenibilidad, Energía y Ambiente",Sistemas de Información y Software de Gestión,"Puesta en marcha del Sistema Nacional de Trazabilidad de Combustibles, interoperable con SUNAT y la Policía para reducir el contrabando. (Pág. 47)",Normativa/Estructurada
Fuerza Popular,"Desarrollo Territorial, Vivienda y Agua",Sistemas de Información y Software de Gestión,Formalización de derechos de uso de agua con mecanismos ágiles y digitales. (Pág. 51),Instrumental
Fuerza Popular,"Sostenibilidad, Energía y Ambiente","Hardware Avanzado, Robótica y Sensores (IoT)","Establecemiento de sistemas de monitoreo hídrico con tecnología satelital y sensores remotos, priorizando zonas de alta vulnerabilidad climática. (Pág. 51)",Instrumental
Fuerza Popular,Economía y Sectores Productivos,Tecnologías de Confianza Distribuida (DLT),"Incentivo del uso de innovaciones fintech rurales (apps móviles, pagos digitales y blockchain) para ampliar el acceso a crédito, seguros e inteligencia de mercados. (Pág. 51)",Instrumental
Fuerza Popular,"Educación, Ciencia y Tecnología (CTI)",Biotecnología y Tecnologías Especializadas,"Fortalecimiento del INIA, universidades e institutos para liderar la innovación en semillas certificadas, mecanización y bioeconomía. (Pág. 51)",Declarativa
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Creación de plataformas digitales de trazabilidad, precios e inocuidad, vinculadas a la estrategia de bioeconomía y agronegocios sostenibles. (Pág. 52)",Programática
Fuerza Popular,Economía y Sectores Productivos,Biotecnología y Tecnologías Especializadas,"Establecimiento de un Sistema Nacional de Bioeconomía Agraria, que impulse cadenas productivas en agroindustria, farmacéutica, textil y energía limpia... (Pág. 52)",Normativa/Estructurada
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Modernización integralmente los Desembarcaderos Pesqueros Artesanales (DPA), incorporando cadenas de frío, servicios sanitarios, tratamiento de residuos y accesos logísticos eficientes... [incluyendo] trazabilidad digital. (Pág. 56)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Establecimiento de un Sistema Nacional de Información Pesquera que registre capturas, trazabilidad, exportaciones y formalización, interoperable con SUNAT y SANIPES. (Pág. 57)",Normativa/Estructurada
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,Fortalecimiento de la Ley General de Acuicultura y Pesca... optimizando la Ventanilla Única mediante inteligencia artificial... (Pág. 57),Normativa/Estructurada
Fuerza Popular,"Seguridad Ciudadana, Defensa y Orden Interno","Hardware Avanzado, Robótica y Sensores (IoT)","Implementación de sistemas obligatorios y gratuitos de geolocalización, comunicación y botón de pánico en la flota artesanal, integrados a un centro nacional de monitoreo para emergencias marítimas. (Pág. 58)",Programática
Fuerza Popular,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,"Implementación de un Plan de Cobertura Universal de Internet Satelital y Móvil, especialmente para comunidades amazónicas y altoandinas. (Pág. 63-64)",Programática
Fuerza Popular,Conectividad e Infraestructura Digital,Conectividad e Infraestructura Digital,Implementación de la Red de Comunicaciones Nanay - Putumayo y Satélite de Comunicaciones Menores: conectividad para comunidades amazónicas. (Pág. 64),Programática
Fuerza Popular,Conectividad e Infraestructura Digital,Inteligencia Artificial,"Incorporación de sistemas inteligentes de gestión logística y trazabilidad digital, incluyendo IA para gestión de almacenes y fronteras. (Pág. 64)",Instrumental
Fuerza Popular,Conectividad e Infraestructura Digital,"Seguridad, Ciberdefensa y Tecnologías de Control",Formalización del transporte interprovincial mediante control satelital y apoyo condicionado a la formalización. (Pág. 64),Instrumental
Fuerza Popular,Conectividad e Infraestructura Digital,Inteligencia Artificial,"Implementación de un sistema de ventanilla única multimodal (VUM) con Inteligencia Artificial que sea interoperable para transporte terrestre, portuario y aduanero. (Pág. 64)",Programática
Fuerza Popular,Economía y Sectores Productivos,Big Data y Analítica de Datos,"Implementación del Sistema Integral de Información para la Gestión del Turismo (SIIGTUR) y fortalecer los Observatorios Turísticos Nacional y Regional, garantizando planificación basada en evidencia. (Pág. 66)",Programática
Fuerza Popular,Economía y Sectores Productivos,Sistemas de Información y Software de Gestión,"Ampliación de campañas digitales con plataformas inteligentes e influencers globales, enfocadas en Asia, Europa y Norteamérica. (Pág. 68)",Instrumental
Fuerza Popular,"Desarrollo Social, Trabajo y Cultura",Sistemas de Información y Software de Gestión,"Capacitación y certificación de 100,000 trabajadores turísticos en competencias digitales, inglés, atención al cliente... (Pág. 69)",Programática
Fuerza Popular,Economía y Sectores Productivos,Automatización e Interfaces (Chatbots),"Fomento de la industria 4.0: automatización, digitalización y procesos sostenibles, con asistencia del sistema CITE y universidades. (Pág. 71)",Declarativa
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,"Implementación de una Ventanilla Única Industrial (VUI) digital e interoperable con inteligencia artificial para licencias, autorizaciones sanitarias, ambientales y de seguridad... (Pág. 71)",Programática
Fuerza Popular,Economía y Sectores Productivos,Inteligencia Artificial,"Implementación de la Ventanilla Única de Comercio Exterior 2.0 (VUCE 2.0) con Inteligencia Artificial e interoperable con SUNAT, Aduanas, MTC y PROMPERÚ... (Pág. 71)",Programática
Fuerza Popular,"Sostenibilidad, Energía y Ambiente","Hardware Avanzado, Robótica y Sensores (IoT)","Implementación de un Programa Nacional de Cero Deforestación Ilegal, con drones y monitoreo satelital en la Amazonía. (Pág. 76)",Programática
Fuerza Popular,Salud y Seguridad Alimentaria,Sistemas de Información y Software de Gestión,Implementación de un sistema nacional autónomo de vigilancia activa de niveles de plomo en sangre y suelos... (Pág. 80),Normativa/Estructurada
